301.00	9.5000001465451E-7
302.00	9.5000001465451E-7
303.00	9.5982898073999E-7
304.00	9.5000001465451E-7
305.00	9.5000001465451E-7
306.00	9.5000001465451E-7
307.00	9.5000001465451E-7
308.00	9.5000001465451E-7
309.00	9.5000001465451E-7
310.00	9.5000001465451E-7
311.00	9.5000001465451E-7
312.00	9.5000001465451E-7
313.00	9.5000001465451E-7
314.00	9.5000001465451E-7
315.00	9.5000001465451E-7
316.00	9.5000001465451E-7
317.00	9.5000001465451E-7
318.00	9.5000001465451E-7
319.00	9.5000001465451E-7
320.00	9.5000001465451E-7
321.00	9.5000001465451E-7
322.00	9.5000001465451E-7
323.00	9.5000001465451E-7
324.00	9.5000001465451E-7
325.00	9.5000001465451E-7
326.00	9.5000001465451E-7
327.00	9.5000001465451E-7
328.00	9.5000001465451E-7
329.00	9.5000001465451E-7
330.00	9.5000001465451E-7
331.00	9.5000001465451E-7
332.00	9.5000001465451E-7
333.00	9.5000001465451E-7
334.00	9.5000001465451E-7
335.00	9.5000001465451E-7
336.00	9.5000001465451E-7
337.00	9.5000001465451E-7
338.00	9.5000001465451E-7
339.00	9.5000001465451E-7
340.00	9.5000001465451E-7
341.00	9.5000001465451E-7
342.00	9.5000001465451E-7
343.00	9.5000001465451E-7
344.00	9.5000001465451E-7
345.00	9.5000001465451E-7
346.00	9.5000001465451E-7
347.00	9.5000001465451E-7
348.00	5.3631401897292E-6
349.00	3.2463700335938E-5
350.00	7.4096002208535E-5
351.00	7.2234797698911E-5
352.00	4.6061599277891E-5
353.00	4.9981699703494E-5
354.00	5.4300398915075E-5
355.00	2.962500002468E-5
356.00	1.6834199414006E-5
357.00	2.1449199266499E-5
358.00	1.0259300324833E-5
359.00	9.8898499345523E-6
360.00	2.1662899598596E-5
361.00	1.5408899344038E-5
362.00	2.9159300538595E-6
363.00	2.9355398964981E-6
364.00	2.2350200197252E-6
365.00	2.1353500869736E-6
366.00	2.7198000225326E-6
367.00	4.415850071382E-6
368.00	6.1576702137245E-6
369.00	7.1873701017466E-6
370.00	3.0479200177069E-6
371.00	4.0107897802955E-6
372.00	5.7224701777159E-6
373.00	3.9465899135394E-6
374.00	7.1054600994103E-6
375.00	2.5892700250552E-6
