854.00	2.2019999050826E-6
855.00	2.1632999960275E-6
856.00	1.7428600358471E-6
857.00	1.411340008417E-6
858.00	1.3290699598656E-6
859.00	1.1244500228713E-6
860.00	1.0217800081591E-6
861.00	9.9420799415384E-7
862.00	9.5000001465451E-7
863.00	9.5000001465451E-7
864.00	9.5000001465451E-7
865.00	9.5000001465451E-7
866.00	9.5000001465451E-7
867.00	9.6369103630423E-7
868.00	1.1606399539232E-6
869.00	1.0420500302644E-6
870.00	1.2340500461505E-6
871.00	1.6924300325627E-6
872.00	1.8429600459058E-6
873.00	2.24979999075E-6
874.00	2.1466200905707E-6
875.00	2.3768400296831E-6
876.00	2.5744100184966E-6
877.00	2.8682100037258E-6
878.00	2.9766299576295E-6
879.00	3.1151300845522E-6
880.00	3.2913999348239E-6
881.00	3.2984100926114E-6
882.00	4.023239853268E-6
883.00	4.6344398469955E-6
884.00	5.9047201830253E-6
885.00	6.9340899244708E-6
886.00	8.2280403148616E-6
887.00	9.1559995780699E-6
888.00	1.0103300155606E-5
889.00	1.1010600246664E-5
890.00	1.1103999895568E-5
891.00	1.0600700079522E-5
892.00	9.9400704129948E-6
893.00	8.6748195826658E-6
894.00	7.4047597991012E-6
895.00	6.3591801335861E-6
896.00	5.6668100114621E-6
897.00	4.9013501666195E-6
898.00	4.8392898861493E-6
899.00	4.9381301323592E-6
900.00	5.4902197916817E-6
901.00	6.062829925213E-6
902.00	6.7129099079466E-6
903.00	6.8044200816075E-6
904.00	7.5022098826594E-6
905.00	7.1488798312203E-6
906.00	6.9598099798895E-6
907.00	6.1760501921526E-6
908.00	5.4181500672712E-6
909.00	4.752449967782E-6
910.00	4.1579401113268E-6
911.00	3.5834600566886E-6
912.00	3.1504400794802E-6
913.00	3.285410002718E-6
914.00	3.3302399060631E-6
915.00	3.4359700293862E-6
916.00	3.8068099001975E-6
917.00	4.6239401854109E-6
918.00	5.8483601605985E-6
919.00	6.7707901507674E-6
920.00	8.0796198744792E-6
921.00	9.5888799478416E-6
922.00	1.0472400390427E-5
923.00	1.0570300219115E-5
924.00	1.0237299647997E-5
925.00	9.4197002908913E-6
926.00	8.2131400631624E-6
927.00	7.4379599936947E-6
928.00	6.4721498347353E-6
929.00	5.6230301197502E-6
930.00	5.4572001317865E-6
931.00	5.3864100664214E-6
932.00	5.6743601817288E-6
933.00	6.1270397964108E-6
934.00	7.219719918794E-6
935.00	8.1426496763015E-6
936.00	9.469709766563E-6
937.00	1.0344499969506E-5
938.00	1.1015000382031E-5
939.00	1.0706699868024E-5
940.00	9.5218401838792E-6
941.00	8.2085898611695E-6
942.00	6.9299499045883E-6
943.00	5.7159400057571E-6
944.00	4.4840699047199E-6
945.00	3.7274101032381E-6
946.00	3.1308300094679E-6
947.00	3.0184301067493E-6
948.00	2.7354799385648E-6
949.00	2.7740400128096E-6
950.00	2.5921699489118E-6
951.00	2.6580698886391E-6
952.00	2.6710599740909E-6
953.00	2.9460900350387E-6
954.00	3.4088600386895E-6
955.00	4.0558998080087E-6
956.00	4.7010498747113E-6
957.00	5.5090299611038E-6
958.00	6.7097498686053E-6
959.00	8.6009504229878E-6
960.00	1.056420023815E-5
961.00	1.2448599591153E-5
962.00	1.4302099771157E-5
963.00	1.5935600458761E-5
964.00	1.6898100511753E-5
965.00	1.7609499991522E-5
966.00	1.7483900592197E-5
967.00	1.701899964246E-5
968.00	1.6800100638648E-5
969.00	1.6842999684741E-5
970.00	1.6726999092498E-5
971.00	1.7095400835387E-5
972.00	1.7434900655644E-5
